LOCAL SERACHER, LOCAL NODES
 Attempt    Nodes    Edges Distance          Time         TTime
     112     1000    12000        4        139592        147657
     113     1000    12000        4        219379        114608
     114     1000    12000        3         21665        136329
     115     1000    12000        2          1660        130885
     116     1000    12000        3         17796        126975
     117     1000    12000        3         23461       1819033
     118     1000    12000        4        110794        116100
     119     1000    12000        3         17796        125294
     120     1000    12000        4        100939        106586
     121     1000    13000        1           227        140930
     122     1000    13000        3         23623       1801902
     123     1000    13000        3         25136        147235
     124     1000    13000        2          1728        138352
     125     1000    13000        3         40154        163701
     126     1000    13000        3         17823        131848
     127     1000    13000        3         25380        150055
     128     1000    13000        3         29899        157176
     129     1000    13000        3         19674        136682
     130     1000    13000        3         38097        162061
     131     1000    14000        3         28680        165560
     132     1000    14000        2          3016        172650
     133     1000    14000        3         24892        161400
     134     1000    14000        3         40800        175141
     135     1000    14000        3         36025       1843629
     136     1000    14000        3         31947        159366
     137     1000    14000        3         48963        170093
     138     1000    14000        3         38134        166717
     139     1000    14000        4        143130        148269
     140     1000    14000        2          2230        160056
     141     1000    15000        2          3117        179689
     142     1000    15000        3         26206        166885
     143     1000    15000        3         52352        181054
     144     1000    15000        3         33693        172805
     145     1000    15000        3         47267        182307
     146     1000    15000        3         46630       1905156
     147     1000    15000        3         33732        173515
     148     1000    15000        3         35313        168107
     149     1000    15000        3         28238        162573
     150     1000    15000        4        148615        153805
     151     1000    16000        3         46537        186869
     152     1000    16000        3         35125        181008
     153     1000    16000        3         28899        175435
     154     1000    16000        2          3097        184261
     155     1000    16000        2          3377        187777
     156     1000    16000        2          5274       2062587
     157     1000    16000        3         34654        180510
     158     1000    16000        4        166703        166928
     159     1000    16000        3         49590        184088
     160     1000    16000        2          2607        178225
     161     1000    17000        3         55146        195301
     162     1000    17000        3         60634        195167
     163     1000    17000        3         25787        176518
     164     1000    17000        2          4041        194167
     165     1000    17000        3         69892       1979743
     166     1000    17000        3         50865        186454
     167     1000    17000        3         50941        187331
     168     1000    17000        2          4054        186770
     169     1000    17000        3         49501        187500
     170     1000    17000        2          3243        191124
     171     1000    18000        3         41734        200280
     172     1000    18000        3         58324        202086
     173     1000    18000        3         47392       1897550
     174     1000    18000        4        185153        189457
     175     1000    18000        3         58308        206649
     176     1000    18000        3         49638        195494
     177     1000    18000        3         70949        199404
     178     1000    18000        3         74868        199215
     179     1000    18000        3         48236        196061
     180     1000    18000        2          3907       2125933
     181     1000    19000        3         45789        204366
     182     1000    19000        3         63780        204682
     183     1000    19000        3         32554        194513
     184     1000    19000        1           271        206058
     185     1000    19000        3         68074        206308
     186     1000    19000        3         62093        205452
     187     1000    19000        3         67504       2131132
     188     1000    19000        3         64665        205800
     189     1000    19000        2          3839        203673
     190     1000    19000        2          4289        199832
REMOTE SEARCHER, REMOTE NODES
 Attempt    Nodes    Edges Distance          Time         TTime
       1     1000     1000       -1           553          8894
       2     1000     1000       -1         19288        107309
       3     1000     1000       -1           346           415
       4     1000     1000       -1           750          1457
       5     1000     1000       -1           144           205
       6     1000     1000       -1          2941         13477
       7     1000     1000       -1           531           592
       8     1000     1000       -1           356           228
       9     1000     1000       -1           382           749
      10     1000     1000       -1           467           426
      11     1000     2000       -1           281           488
      12     1000     2000        9         44202        803822
      13     1000     2000        7         10844         49191
      14     1000     2000       -1          1353           416
      15     1000     2000        9         40166       2462816
      16     1000     2000       -1           240           203
      17     1000     2000       10         51541       2443787
      18     1000     2000       -1           599           792
      19     1000     2000       10         56723        741617
      20     1000     2000        9         44807       2578619
      21     1000     3000        7         40223        274573
      22     1000     3000       -1           178           204
      23     1000     3000        4          6688          9950
      24     1000     3000        8         79002       2113399
      25     1000     3000        8         59240        160160
      26     1000     3000        3          2594          9480
      27     1000     3000        3           845          3913
      28     1000     3000        4          8989         10153
      29     1000     3000       10         97885       9647787
      30     1000     3000        5         18942       2732170
      31     1000     4000        5         44701       9742094
      32     1000     4000       -1        109605      25611351
      33     1000     4000        5         32987       8676828
      34     1000     4000        5         39076       9736359
      35     1000     4000        4          6376          8660
      36     1000     4000        6         70374       6372579
      37     1000     4000        6         75129       6686791
      38     1000     4000        5         21802       5813145
      39     1000     4000        6         56893       5587571
      40     1000     4000        6         90523       6309112
      41     1000     5000        5         54542      21776184
      42     1000     5000        6        111386      28162498
      43     1000     5000        5         86572      34616214
      44     1000     5000        5         60747      25030066
      45     1000     5000        3          3692         19642
      46     1000     5000        4          4194          4965
      47     1000     5000        5         52689      20000473
      48     1000     5000        5         82096      33860732
      49     1000     5000        5         61904      24727644
      50     1000     5000        5         69216      21850330
      51     1000     6000        4         20296         21781
      52     1000     6000        3          2803         17519
      53     1000     6000        2          1289         42282
      54     1000     6000        3          8462         48153
      55     1000     6000        5         60333      36597995
      56     1000     6000        5          9180       5876781
      57     1000     6000        2          1355         39654
      58     1000     6000        3          3979         23122
      59     1000     6000        5         66664      40616408
      60     1000     6000        4         37671         41726
      61     1000     7000        3         14432         69489
      62     1000     7000        5        106618      91257822
      63     1000     7000        4         27028         27865
      64     1000     7000        5        111421     100074812
      65     1000     7000        4         61167         61134
      66     1000     7000        3          7355         48089
      67     1000     7000        5         82873      74499880
      68     1000     7000        5         90678      66410054
      69     1000     7000        4         58309         64233
      70     1000     7000        2           926         33341
      71     1000     8000        4       3227469         52718
      72     1000     8000        4         35141         39100
      73     1000     8000        5        113156     127298837
      74     1000     8000        4         49502         53157
      75     1000     8000        4       1992913         64798
      76     1000     8000        3         13065         79875
      77     1000     8000        3         10089         59902
      78     1000     8000        4         50857         56331
      79     1000     8000        2          1190         55696
      80     1000     8000        4         53628         58203
      81     1000     9000        3          9804         67277
      82     1000     9000        3         13139         84901
      83     1000     9000        5         90714     128736335
      84     1000     9000        3         16212         95179
      85     1000     9000        3         13529         87135
      86     1000     9000        3         13283         84253
      87     1000     9000        4         59127         64035
      88     1000     9000        3         15015         93116
      89     1000     9000        1           288         92567
      90     1000     9000        4       2072612         94579
      91     1000    10000        3         10534         78228
      92     1000    10000        2          1512         96318
      93     1000    10000        4         95264       1908115
      94     1000    10000        3         15668        101163
      95     1000    10000        2          1034         54276
      96     1000    10000        4         74554         81058
      97     1000    10000        4         80822         84627
      98     1000    10000        4         75775         82606
      99     1000    10000        2          2902        111597
     100     1000    10000        3         10051         75835
     101     1000    11000        3         21665        123459
     102     1000    11000        3         18998        118307
     103     1000    11000        3         18197        117984
     104     1000    11000        3         21255        128262
     105     1000    11000        4        101207       1938849
     106     1000    11000        3         17121        113194
     107     1000    11000        3         12860         98643
     108     1000    11000        4         71092         76769
     109     1000    11000        2          2759        138991
     110     1000    11000        3          9623         80585
     111     1000    12000        3         20401        129659
     112     1000    12000        3         26669        146540
     113     1000    12000        2          2312        142181
     114     1000    12000        0           160        132579
     115     1000    12000        3         27605        146464
     116     1000    12000        3         31791       2006964
     117     1000    12000        3         26109        138062
     118     1000    12000        2          2732        146179
     119     1000    12000        3         20308        130198
     120     1000    12000        3         20813        133776
     121     1000    13000        3         21629        134548
     122     1000    13000        3         20977        138858
     123     1000    13000        3         37660        163145
     124     1000    13000        3         33623       1996384
     125     1000    13000        3         32984        157337
     126     1000    13000        3         22962        143648
     127     1000    13000        3         24864        147894
     128     1000    13000        3         35506        159743
     129     1000    13000        3         15308        121657
     130     1000    13000        3         29962        152953
     131     1000    14000        3         42697       1962064
