LOCAL SERACHER, LOCAL NODES
 Attempt    Nodes    Edges Distance          Time         TTime
     151      500     8000        2          2337          2823
     152      500     8000        2          3486          2890
     153      500     8000        3          2468          2770
     154      500     8000        3          2471          2805
     155      500     8000        2          2255          2823
     156      500     8000        3          2571          2835
     157      500     8000        2          2271          2806
     158      500     8000        2          2266          2814
     159      500     8000        3          2547          2833
     160      500     8000        2          2257          2797
     161      500     8500        3          2735          2918
     162      500     8500        3          2513          2909
     163      500     8500        2          2347          2932
     164      500     8500        2          2340          2944
     165      500     8500        3          2647          2892
     166      500     8500        3          2611          2956
     167      500     8500        3          3463          3124
     168      500     8500        1          2357          2937
     169      500     8500        2          2376          2919
     170      500     8500        3          2571          5119
     171      500     9000        3          2811          3017
     172      500     9000        2          2419          2979
     173      500     9000        3          2647          3782
     174      500     9000        2          2420          3012
     175      500     9000        2          2820          2998
     176      500     9000        3          2698          3008
     177      500     9000        3          2689          2999
     178      500     9000        2          2386          3960
     179      500     9000        3          2668          3033
     180      500     9000        3          3625          3267
     181      500     9500        3          2842          3125
     182      500     9500        2          2527          3130
     183      500     9500        2          2575          3090
     184      500     9500        3          2658          3097
     185      500     9500        3          2806          3116
     186      500     9500        2          2492          3120
     187      500     9500        2          2487          4358
     188      500     9500        2          2558          3079
     189      500     9500        2          2463          3051
     190      500     9500        3          2758          3100
LOCAL SEARCHER, REMOTE NODES
 Attempt    Nodes    Edges Distance          Time         TTime
       1      500      500       -1         16208         87107
       2      500      500       -1           895          2084
       3      500      500       -1           711          1693
       4      500      500       -1           229           482
       5      500      500       -1          2993          5082
       6      500      500       -1           179           398
       7      500      500       -1           170           407
       8      500      500       -1           668          1621
       9      500      500       -1          1784          6500
      10      500      500       -1           780          1990
      11      500     1000       -1         94188       1201688
      12      500     1000        7         32651        126757
      13      500     1000       14         58781        830094
      14      500     1000        7         28125        132372
      15      500     1000       11         27668        147291
      16      500     1000        5          4203         42086
      17      500     1000       -1            94           146
      18      500     1000        8         30173         74387
      19      500     1000       -1           795          2428
      20      500     1000       -1         50220        700556
      21      500     1500       -1        179734       2359492
      22      500     1500        3          2204          8731
      23      500     1500        9         53138       2218782
      24      500     1500        7         56044        195828
      25      500     1500        5         11653        493919
      26      500     1500        6         41626       1023512
      27      500     1500        4          3839          5211
      28      500     1500        7         43418        844736
      29      500     1500        8         50740        267811
      30      500     1500        4          8905          9404
      31      500     2000        5         19626       1573783
      32      500     2000        4          9596         11938
      33      500     2000        6         56964       2756206
      34      500     2000        3          5328         20304
      35      500     2000        5         24776       2333523
      36      500     2000        4         17835         20740
      37      500     2000        3          3586         15719
      38      500     2000        5         25555       2330288
      39      500     2000        5         30891       2655777
      40      500     2000        3           952          2746
      41      500     2500        4         16211         18548
      42      500     2500        4         13940         16232
      43      500     2500        4         11831         14271
      44      500     2500        4         21971         24166
      45      500     2500        5         42262       6638044
      46      500     2500        4         11413         12802
      47      500     2500        4          8686         10099
      48      500     2500        3          4886         25022
      49      500     2500        3          5399         23861
      50      500     2500        4          8327         10043
      51      500     3000        4         17578         19262
      52      500     3000        5         49342      10686058
      53      500     3000        3          4256         19936
      54      500     3000        3          4874         23451
      55      500     3000        4         14661         16471
      56      500     3000        4         39930         40938
      57      500     3000        4         17474         19307
      58      500     3000        5         57201      12109481
      59      500     3000        1           160         32604
      60      500     3000        3         10049         41140
      61      500     3500       -1         66887      20016328
      62      500     3500        3          8148         39772
      63      500     3500        4         36368         39465
      64      500     3500        3          7724         40319
      65      500     3500        4         28441         31056
      66      500     3500        4         23570         27789
      67      500     3500        4         27424         33561
      68      500     3500        3          6187         34332
      69      500     3500        2          1238         43612
      70      500     3500        4         35200         38615
      71      500     4000        4         26466         28608
      72      500     4000        3          5908         37743
      73      500     4000        3          8385         44784
      74      500     4000        3         14368         57881
      75      500     4000        3          8778         46946
      76      500     4000        3          8286         48457
      77      500     4000        3          4183         29608
      78      500     4000        2          1543        153220
      79      500     4000        3         12018         53561
      80      500     4000        3         15018         58257
      81      500     4500        3         23414         71717
      82      500     4500        4         52786         58714
      83      500     4500        3          9609         52186
      84      500     4500        3         15283         65610
      85      500     4500        4         47383         51156
      86      500     4500        3         10291         55292
      87      500     4500        3          5722         38814
      88      500     4500        3         16596         65844
      89      500     4500        3         16575         66715
      90      500     4500        4         42987         49608
      91      500     5000        2          1366         57875
      92      500     5000        3         16376         69326
      93      500     5000        2          1354         65071
      94      500     5000        3          9659         57739
